,Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-took part in a tapseq task,UPDATE-took part in a tapseq task,CURRENT-temp qualification,UPDATE-temp qualification,CURRENT-participated in the past,UPDATE-participated in the past,CURRENT-eligible for testing 1 week birds,UPDATE-eligible for testing 1 week birds,CURRENT-eligible for next step memory rep,UPDATE-eligible for next step memory rep,CURRENT-eligible for memory testing 1 week,UPDATE-eligible for memory testing 1 week,CURRENT-completed multicategory memory test,UPDATE-completed multicategory memory test,CURRENT-completed memory rep,UPDATE-completed memory rep,CURRENT-completed memory encoding 24h,UPDATE-completed memory encoding 24h,CURRENT-completed encoding successfully ,UPDATE-completed encoding successfully ,CURRENT-completed encoding multicategory memory test,UPDATE-completed encoding multicategory memory test,CURRENT-completed day5,UPDATE-completed day5,CURRENT-completed day4,UPDATE-completed day4,CURRENT-completed day3,UPDATE-completed day3,CURRENT-completed day2,UPDATE-completed day2,CURRENT-completed day1,UPDATE-completed day1,CURRENT-completed birds memory rep,UPDATE-completed birds memory rep,CURRENT-Completed My Experiment Already,UPDATE-Completed My Experiment Already,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
0,A002160837SWJFPIAI7L7,https://requester.mturk.com/workers/A002160837SWJFPIAI7L7,2,2,100.00%,0,0,0.00%,0,0,0.00%,1,,,,,,,,,,,,,,100,,,,,,,,0,,0,,,,,,,,,,1,,Never Blocked,,
1,A074332538R4YYDPXNF01,https://requester.mturk.com/workers/A074332538R4YYDPXNF01,1,1,100.00%,0,0,0.00%,0,0,0.00%,1,,,,,,,,,,,,,,100,,,,,,,,0,,0,,,,,,,,,,,,Never Blocked,,
2,A102RSV009OCUW,https://requester.mturk.com/workers/A102RSV009OCUW,1,1,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never Blocked,,
3,A104V8NZIQFN2F,https://requester.mturk.com/workers/A104V8NZIQFN2F,5,5,100.00%,0,0,0.00%,0,0,0.00%,1,,,,,,,,,,,,,,100,,,,,,,,1,,1,,1,,1,,1,,,,,,Never Blocked,,
4,A105M4JOZSR7E6,https://requester.mturk.com/workers/A105M4JOZSR7E6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,Never Blocked,,
5,A106MX66IVHW6T,https://requester.mturk.com/workers/A106MX66IVHW6T,1,1,100.00%,0,0,0.00%,0,0,0.00%,1,,,,,,,,,,,,,,100,,,,,,,,0,,0,,,,,,,,,,1,,Never Blocked,,
6,A10A0U6O423KB4,https://requester.mturk.com/workers/A10A0U6O423KB4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1,,,,,,,,,,,,,,100,,,,,,,,0,,0,,,,,,0,,,,,,Never Blocked,,
7,A10A7EZUXBD0II,https://requester.mturk.com/workers/A10A7EZUXBD0II,2,2,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,Never Blocked,,
8,A10AKR84P1WXHL,https://requester.mturk.com/workers/A10AKR84P1WXHL,2,2,100.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Never Blocked,,
9,A10AVWALIHR4UQ,https://requester.mturk.com/workers/A10AVWALIHR4UQ,1,1,100.00%,0,0,0.00%,0,0,0.00%,1,,,,,,,,,,,,,,100,,,,,,,,0,,0,,,,,,,,,,1,,Never Blocked,,
